anzsco_code,occupation,description
134311,Primary School Principal,"Plans, organises, directs, controls and coordinates the educational and administrative aspects of a primary school including physical and human resources. The specialisation of 'Primary School Principal' is a subset of the broader occupation of 'School Principal'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Primary School Principal' profile should be combined with the broader 'School Principal' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
134311,Secondary School Principal,"Plans, organises, directs, controls and coordinates the educational and administrative aspects of a secondary school including physical and human resources. The specialisation of 'Secondary School Principal' is a subset of the broader occupation of 'School Principal'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Secondary School Principal' profile should be combined with the broader 'School Principal' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
134311,School Principal,"Plans, organises, directs, controls and coordinates the educational and administrative aspects of primary, middle or intermediate and secondary schools including physical and human resources. Registration or licensing is required."
134411,Faculty Head,"Plans, organises, directs, controls and coordinates the educational and administrative aspects of a department, faculty or school within a university or other tertiary education institution."
134412,Regional Education Manager,"Plans, organises, directs, controls and coordinates educational approaches and policy, and curriculum resources and development for preschool, primary, middle or intermediate school, secondary, TAFE or polytechnic teachers and administrators."
134499,Polytechnic Registrar,"Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at polytechnic institutions."
134499,Project Coordinator (Education),"Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges."
134499,TAFE Registrar,"Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at TAFE institutions."
134499,University Registrar,"Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at universities."
134499,Education Managers nec,"This occupation group covers Education Managers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 134499 Education Managers nec."
135111,Chief Information Security Officer,"Plans, organises, directs, controls, coordinates and tests the ICT security, and to ensure that the business operates in line with an appropriate risk management profile. The specialisation of 'Chief Information Security Officer' is a subset of the broader occupation of 'Chief Information Officer'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Chief Information Security Officer' profile should be combined with the broader 'Chief Information Officer' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
135111,Chief Information Officer,"Plans, organises, directs, controls and coordinates the ICT strategies, plans and operations of an organisation to ensure the ICT infrastructure supports the organisation's overall operations and priorities."
135112,ICT Project Manager,"Plans, organises, directs, controls and coordinates quality accredited ICT and cyber security projects. Accountable for day-to-day operations of resourcing, scheduling, prioritisation and task coordination, and meeting project milestones, objectives and deliverables within agreed timeframes and budgets."
135199,IT Service Delivery Manager,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming."
135199,Network Manager,"Plan, direct, or coordinate activities in order to manage a computer system for an organisation."
135199,ICT Managers nec,"This occupation group covers ICT Managers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 135199 ICT Managers nec."
139911,Arts Administrator or Manager,"Plans, organises, directs, controls, coordinates and promotes artistic and cultural policies, programs, projects and services."
139912,Environmental Manager,"Plans, organises, directs, controls and coordinates the development and implementation of an environmental management system within an organisation by identifying, solving and alleviating environmental issues, such as pollution and waste treatment, in compliance with environmental legislation and to ensure corporate sustainable development."
139913,Laboratory Manager,"Plans, organises, directs, controls and coordinates the operations of a research or production laboratory."
139915,Sports Administrator,"Plans, organises, directs, controls, coordinates and promotes sport and recreational activities, and develops related policies."
139916,Quality Assurance Manager,"Plans, organises, directs, controls and coordinates the deployment of quality systems and certification processes within an organisation."
139917,Regulatory Affairs Manager,"Plans, organises, directs, controls, coordinates and promotes adherence to regulatory frameworks and strategies within an organisation. Monitors regulatory environment and enables compliance."
139999,Airport Manager,"Ensure the safe take-off and landing of commercial and military aircraft. Duties include coordination between air-traffic control and maintenance personnel, dispatching, using airfield landing and navigational aids, implementing airfield safety procedures, monitoring and maintaining flight records, and applying knowledge of weather information."
139999,Ambulance Services Manager,"Plan, direct, or coordinate ambulance services in hospitals, clinics, managed care organisations, public health agencies, or similar organisations."
139999,Archbishop,Lead religious worship and perform other spiritual functions associated with beliefs and practices of religious faith or denomination as an ordained or appointed member. Provide spiritual and moral guidance and assistance to members and other clergy.
139999,Bishop,Conduct religious worship and perform other spiritual functions associated with beliefs and practices of religious faith or denomination as an ordained or appointed member. Provide spiritual and moral guidance and assistance to members and other clergy.
139999,Harbour Master,"Plan, direct, or coordinate marine transportation, storage, or distribution activities in accordance with organisational policies and applicable government laws or regulations."
139999,Security Manager (Non-ICT),"Direct an organisation's security functions, including physical security and safety of employees and facilities."
139999,Specialist Managers nec,"This occupation group covers Specialist Managers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 139999 Specialist Managers nec."
141111,Canteen Manager,Organises and controls the operations of a canteen to provide food services. The specialisation of 'Canteen Manager' is a subset of the broader occupation of 'Cafe or Restaurant Manager'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Canteen Manager' profile should be combined with the broader 'Cafe or Restaurant Manager' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
141111,Cafe or Restaurant Manager,"Organises and controls the operations of a cafe, restaurant or related establishment to provide dining and catering services."
141311,Hotel or Motel Manager,"Organises and controls the operations of a hotel or motel to provide guest accommodation, meals and other services. Registration or licensing may be required."
141411,Licensed Club Manager,"Organises and controls the operations of a licensed club to provide food, beverages, gaming, entertainment, sporting and other amenities for members. Registration or licensing is required."
141999,Backpackers Manager,"Plan, direct, or coordinate activities of a backpackers."
141999,Boarding House Manager,"Plan, direct, or coordinate activities of a boarding house."
141999,Casino Duty Manager,"Directly supervise and coordinate activities of workers in assigned gambling areas. May circulate among tables, observe operations, and ensure that stations and games are covered for each shift."
141999,Guest House Manager,"Plan, direct, or coordinate activities of a guest house."
141999,Hostel Manager,"Plan, direct, or coordinate activities of a hostel."
141999,Reception Centre Manager,Directly supervise and coordinate the activities of clerical and administrative support workers.
141999,Accommodation and Hospitality Managers nec,"This occupation group covers Accommodation and Hospitality Managers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 141999 Accommodation and Hospitality Managers nec."
142114,Hair or Beauty Salon Manager,Organises and controls the operations of a hairdressing or beauty salon. Registration or licensing may be required.
142115,Post Office Manager,Organises and controls the operations of a post office.
149211,Call or Contact Centre Manager,Organises and controls the operations of a call or contact centre. May work in a call centre.
149212,Customer Service Manager,"Plans, administers and reviews customer services and after-sales services, and maintains sound customer relations."
149311,Exhibition Organiser,Plans and manages exhibitions in a variety of settings. The specialisation of 'Exhibition Organiser' is a subset of the broader occupation of 'Conference and Event Organiser'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Exhibition Organiser' profile should be combined with the broader 'Conference and Event Organiser' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
149311,Conference and Event Organiser,"Organises and coordinates services for conferences, events, functions, banquets and seminars."
149411,Fleet Manager,Organises and controls the buying and selling of vehicles for rental agencies and coordinates the leasing of vehicles. Registration or licensing may be required.
149413,Transport Company Manager,Organises and controls the operations of an enterprise that operates a fleet of vehicles to transport goods and passengers. Registration or licensing may be required.
149913,Facilities Manager,"Organises, controls and coordinates the strategic and operational management of buildings and facilities in a public and private organisations to ensure the proper and efficient operation of all physical aspects of a facility, to create and sustain safe and productive environments for occupants."
149914,Financial Institution Branch Manager,"Organises and controls the general operational activities of a branch of a bank, building society, credit union or similar financial institution."
149999,Abattoir Manager,Directly supervise and coordinate the activities of an abattoir.
149999,Brothel Keeper,"Plan, direct, or coordinate human resources activities and staff of a brothel."
149999,Laundromat Operator,Directly supervise and coordinate the activities of a laundromat.
149999,Marina Manager,"Plan, direct, or coordinate marina activities in accordance with organisational policies and applicable government laws or regulations."
149999,Taxi Proprietor,Directly supervise and coordinate activities of taxi operators.
149999,"Hospitality, Retail and Service Managers nec","This occupation group covers Hospitality, Retail and Service Managers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 149999 Hospitality, Retail and Service Managers nec."
211111,Actor,"Entertains by portraying roles in film, television, radio and stage productions. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
211112,Dancer or Choreographer,"Entertains by performing dances, or creates dance compositions. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
211113,Entertainer or Variety Artist,"Entertains by performing a variety of acts using a mix of acting, singing, dance and movement skills. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
211199,Circus Trainer,"Train, feed, water, groom, bathe, exercise, or otherwise provide care to promote and maintain the well-being of zoo animals. May clean, disinfect, and repair cages, pens, or fish tanks."
211199,Disc Jockey (Nightclub),"Play pre-recorded music for live audiences at venues or events such as clubs, parties, or wedding receptions. May use techniques such as mixing, cutting, or sampling to manipulate recordings. May also perform as emcee (master of ceremonies)."
211199,Extra (Film or Television),"Play small parts in television, video, or film productions, or other settings for entertainment, information, or instruction."
211199,Motivational Speaker,"Create original written works, such as scripts, essays, prose, poetry or song lyrics, for publication or performance."
211199,Public Speaker,"Speak to an audience, including pre-recorded speech. May write or select material for release to various communications media."
211199,Stunt Performer,"Perform stunts in stage, television, radio, video, or film productions, or other settings for entertainment, information, or instruction. Interpret serious or comic role by gesture, and body movement to entertain or inform audience."
211199,"Actors, Dancers and Other Entertainers nec","This occupation group covers Actors, Dancers and Other Entertainers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 211199 Actors, Dancers and Other Entertainers nec."
211211,Composer,"Writes new and rearranges existing musical compositions such as songs, operas, symphonies, musical scores and advertising jingles. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
211212,Music Director,"Conducts choirs, orchestras, bands, ensembles, opera companies and musical performances. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
211213,Musician (Instrumental),"Entertains by playing one or more musical instruments. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
211214,Singer,"Entertains by singing songs. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
211299,Music Copyist,Prepare written music for a musician or musicians.
211299,Music Researcher,"Research music across diverse historical, geographical and cultural contexts."
211299,Musicologist,"Research music and its relationship with various subjects including geography, aesthetics, politics, race theory, gender theory and neuropsychology."
211299,Music Professionals nec,"This occupation group covers Music Professionals not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 211299 Music Professionals nec."
211311,Photographer,"Operates a still camera to take photographs. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
211411,Painter (Visual Arts),"Conceives and creates visual art forms, such as pictures, abstract designs and similar compositions, to communicate impressions and ideas. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
211412,Potter or Ceramic Artist,"Conceives and creates functional or artistic articles by moulding clay, glass and other fusible materials using hand-building and wheel techniques. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
211413,Sculptor,"Conceives and creates three-dimensional forms to communicate impressions and ideas by carving or modelling materials, such as wood, stone, clay and metal, or assembling found and manufactured materials. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
211499,Leadlighter,"Create or reproduce handmade objects for sale and exhibition using a variety of techniques, such as welding."
211499,Multimedia Artist,"Create or reproduce objects for sale and exhibition using a variety of techniques, such as welding, weaving, pottery, and needlecraft."
211499,Quilter,"Create or reproduce handmade objects for sale and exhibition using a variety of techniques, such as needlecraft."
211499,Textile Artist,"Create or reproduce handmade objects for sale and exhibition using a variety of techniques, using textiles."
211499,Visual Arts and Crafts Professionals nec,"This occupation group covers Visual Arts and Crafts Professionals not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 211499 Visual Arts and Crafts Professionals nec."
212111,Artistic Director,"Determines and oversees implementation of artistic policies for a performing arts organisation such as a theatre company, dance company, music ensemble, festival or venue."
212112,Media Producer (excluding Video),"Plans, administers and reviews activities concerned with publishing, or the production of films, television or radio programs, theatre, music, festivals or other artistic activities."
212113,Radio Presenter,"Prepares and presents news, sports or other information, conducts interviews, and introduces music, performances and special events on radio. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications and experience."
212211,Author,"Produces literary or other written work for publication or performance. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications and experience."
212212,Book or Script Editor,"Evaluates manuscripts of books or scripts to determine suitability for publication or production, and edits and supervises material in preparation for publication or for production on film, television, radio or stage."
212311,"Art Director (Film, Television or Stage)","Plans, organises and controls artistic aspects of film, television or stage productions. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications and experience."
212312,"Director (Film, Television, Radio or Stage)","Interprets and approves selection of scripts, and directs and instructs cast and crew during filming, recording or performance of productions. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications and experience."
212313,Director of Photography,"Plans, directs and coordinates filming to control the quality and style of photography in films or videos."
212314,Film and Video Editor,"Makes and implements editorial decisions regarding mood, pace and climax of films, television programs, video productions or commercials."
212315,Program Director (Television or Radio),Compiles and directs programs for television or radio.
212316,Stage Manager,"Plans, organises, supervises and coordinates the activities of workers responsible for placing sets and properties, and operating lighting and sound equipment as part of film, television or stage productions."
212317,Technical Director,Controls the quality of pictures and sound for television or radio programs by directing technical teams and planning and organising technical facilities.
212318,Video Producer,"Creates films, television programs, video productions or commercials by filming, adding sound and editing in digital or analogue format. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications and experience."
212399,Audio Director,"Coordinate activities of technical departments, such as audio, to produce radio or television programs."
212399,Casting Director,"Audition and interview performers to select most appropriate talent for parts in stage, television, radio, or motion picture productions."
212399,Lighting Director,"Coordinate activities of technical departments, such as lighting, to produce radio or television programs."
212399,Location Manager (Film or Television),"Plans, coordinates and oversees locations for films, television programs, video productions or commercials."
212399,"Film, Television, Radio and Stage Directors nec","This occupation group covers Film, Television, Radio and Stage Directors not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 212399 Film, Television, Radio and Stage Directors nec."
212411,Copywriter,Designs and composes written material to advertise products and services.
212415,Technical Writer,"Researches and writes technical information-based material and documentation for articles, manuals, text books, handbooks, or multimedia products, usually for education or corporate purposes."
212499,Blogger,"Create original written works, such as blogs, for publication."
212499,Critic,"Narrate or write reviews, or commentary for print, broadcast, or other communications media such as newspapers, magazines, radio, or television. May collect and analyse information through interview, investigation, or observation."
212499,Editorial Assistant,"Support editors to plan, coordinate, revise, or edit written material. May review proposals and drafts for possible publication."
212499,Photo Journalist,"Photograph people, landscapes, merchandise, or other subjects for print, broadcast, or other communications media such as newspapers, magazines, radio, or television. May collect and analyse information through interview, investigation, or observation. May use editing software to produce finished images and prints."
212499,Vlogger,"Create original video, or film productions, for entertainment, information, or instruction."
212499,Journalists and Other Writers nec,"This occupation group covers Journalists and Other Writers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 212499 Journalists and Other Writers nec."
221111,Financial Analyst,"Analyses financial data to monitor trends, model scenarios, assess risk, and provide financial advice to help clients make informed decisions. The specialisation of 'Financial Analyst' is a subset of the broader occupation of 'Accountant (General)'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Financial Analyst' profile should be combined with the broader 'Accountant (General)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
221111,Insolvency Practitioner,Administers insolvency procedures. Licencing or registration is required. The specialisation of 'Insolvency Practitioner' is a subset of the broader occupation of 'Accountant (General)'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Insolvency Practitioner' profile should be combined with the broader 'Accountant (General)' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
221111,Accountant (General),"Provides services relating to compliance-based financial reporting, auditing, insolvency and accounting information systems; and advises on associated record-keeping requirements. Registration or licensing may be required for certain services such as auditing."
221112,Management Accountant,"Provides services relating to performance-based financial reporting, asset valuation, budgetary systems, cost management, pricing, forecasting and the strategic governance of organisations. Provides advice on financial planning, risk management, carbon sequestration projects and carbon pricing and provides management with reports to assist in decision-making. May provide insight into cost performance and support the implementation of benchmarking and quality improvement initiatives. Registration or licensing may be required."
221113,Taxation Accountant,"Analyses, reports and provides advice on taxation issues to organisations or individuals, prepares taxation returns and reports, and handles disputes with taxation authorities. Registration or licensing may be required."
221211,Company Secretary,"Plans, administers and reviews corporate compliance activities and effective practice concerning company board meetings and shareholdings, ensuring all business matters and transactions are managed and implemented as directed by the board."
221212,Corporate Treasurer,"Manages corporate funding, liquidity and financial risk associated with the profitable development and operation of an organisation. May be involved in acquisitions, disposals and joint ventures. Registration or licensing may be required."
221213,External Auditor,"Designs and operates information and reporting systems, procedures and controls to meet external financial reporting requirements. Registration or licensing may be required."
221214,Internal Auditor,"Examines, verifies, evaluates and reports on financial, operational and managerial processes, systems and outcomes to ensure financial and operational integrity and compliance, and assists in business process reviews, risk assessments, developing deliverables and reporting progress against outcomes. Registration or licensing may be required."
222111,Commodities Trader,"Operates as an independent agent to bring together buyers and sellers of commodities, negotiates private sales and arranges sales through established market places."
222199,Investment Broker,"Plan, direct, or coordinate investment strategy or operations for institutional investors or individual investors."
222199,Financial Brokers nec,"This occupation group covers Financial Brokers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 222199 Financial Brokers nec."
222299,Equities Analyst,Conduct quantitative analyses of information involving investment programs or financial data of public or private institutions.
222299,Financial Dealers nec,"This occupation group covers Financial Dealers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 222299 Financial Dealers nec."
222311,Financial Investment Adviser,"Develops and implements financial plans for individuals or organisations, and advises on investment strategies and their taxation implications, securities, insurance, pension plans and real estate. Registration or licensing is required."
222312,Financial Investment Manager,"Invests and manages sums of money and assets on behalf of others over an agreed period of time, in order to generate income and profit. Registration or licensing is required."
223111,Human Resource Adviser,Provides staffing and personnel administration services in support of an organisation's human resource policies and programs.
223112,Recruitment Consultant,"Interviews applicants to determine their job requirements and suitability for particular jobs, and assists employers to find suitable staff."
223113,Workplace Relations Adviser,"Assists in resolving disputes by advising on workplace relations policies and problems, and representing industrial, commercial, union, employer or other parties in negotiations on rates of pay and conditions of employment."
223311,ICT Trainer,"Analyses and evaluates information-based system training needs and objectives, and develop, schedule and conduct ICT-based system training programs and courses. The specialisation of 'ICT Trainer' is a subset of the broader occupation of 'Training and Development Professional'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'ICT Trainer' profile should be combined with the broader 'Training and Development Professional' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
223311,Training and Development Professional,"Plans, develops, implements and evaluates training and development programs to ensure management and staff acquire the skills and develop the competencies required by an organisation to meet organisational objectives."
224111,Actuary,"Analyses mathematical, statistical, demographic, financial or economic data to predict and assess the long-term risk involved in financial decisions and planning. Registration or licensing is required."
224112,Mathematician,"Develops and applies mathematical principles and techniques to solve problems in all areas of the sciences, engineering, technology, social sciences, business, industry and commerce."
224114,Data Analyst,"Gathers, cleans and interprets data by processing and applying information technology tools to transform, prepare and communicate results using interactive visualisations such as graphs and charts."
224115,Data Scientist,Applies analytical techniques and scientific procedures to large datasets by creating advanced algorithms and data models. Builds and deploys machine learning frameworks to obtain information for strategic planning and decision making.
224116,Biometrician,"Apply mathematical and statistical principles to advise organisations about biological, agricultural, health and life science matters. Registration or licensing may be required. The specialisation of 'Biometrician' is a subset of the broader occupation of 'Statistician'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Biometrician' profile should be combined with the broader 'Statistician' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
224116,Biostatistician,"Conducts statistical analyses for a wide range of biology-related topics, such as epidemiology, genetics, ecology, systems biology, and other related fields. The specialisation of 'Biostatistician' is a subset of the broader occupation of 'Statistician'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Biostatistician' profile should be combined with the broader 'Statistician' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
224116,Demographer,"Study the trends of population by collecting, forecasting and analysing data for government, commercial and other organisations. Registration or licensing may be required. The specialisation of 'Demographer' is a subset of the broader occupation of 'Statistician'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Demographer' profile should be combined with the broader 'Statistician' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
224116,Epidemiologist,Investigate and analyse patterns and causes of disease and injury of the public to reduce risk. The specialisation of 'Epidemiologist' is a subset of the broader occupation of 'Statistician'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Epidemiologist' profile should be combined with the broader 'Statistician' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
224116,Statistician,"Designs and applies statistical principles and techniques for collecting, organising and interpreting quantifiable data, and uses statistical methodologies to produce statistical reports and analyses for government, commercial and other purposes. Registration or licensing may be required."
224211,Archivist,"Analyses and documents records, and plans and organises systems and procedures for the safekeeping of records and historically valuable documents."
224212,Gallery or Museum Curator,Plans and organises a gallery or museum collection by drafting collection policies and arranging acquisitions of pieces.
224213,Health Information Manager,"Plans, develops, implements and manages health information services, such as patient information systems, and clinical and administrative data, to meet the medical, legal, ethical and administrative requirements of health care delivery."
224214,Records Manager,"Designs, implements and administers record systems and related information services, to support efficient access, movement, updating, storage, retention and disposal of files and other organisational records."
224311,Agricultural Economist,Conducts economic analysis related to agricultural production and distribution of food and fibre products. The specialisation of 'Agricultural Economist' is a subset of the broader occupation of 'Economist'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Agricultural Economist' profile should be combined with the broader 'Economist' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
224311,Econometrician,"Conducts economic analysis related to statistics and detailed mathematical equations study, model, and predict economic principles and outcomes. The specialisation of 'Econometrician' is a subset of the broader occupation of 'Economist'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Econometrician' profile should be combined with the broader 'Economist' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
224311,Economic Forecaster,Conducts economic analysis related to modelling the future condition of the economy. The specialisation of 'Economic Forecaster' is a subset of the broader occupation of 'Economist'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Economic Forecaster' profile should be combined with the broader 'Economist' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
224311,Environmental Economist,"Conducts economic analysis related to environmental protection and use of the natural environment, such as water, air, land, and renewable energy resources. The specialisation of 'Environmental Economist' is a subset of the broader occupation of 'Economist'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Environmental Economist' profile should be combined with the broader 'Economist' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
224311,Health Economist,"Conducts economic evaluation analysis to health and health care, including the functioning of health care markets and the evaluation of health care programs, policies and interventions. The specialisation of 'Health Economist' is a subset of the broader occupation of 'Economist'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Health Economist' profile should be combined with the broader 'Economist' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
224311,Labour Market Economist,"Conducts economic analysis related to the labour market, such as the supply of, and demand for, skills. The specialisation of 'Labour Market Economist' is a subset of the broader occupation of 'Economist'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Labour Market Economist' profile should be combined with the broader 'Economist' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
224311,Mineral Economist,Conducts economic analysis related to the mining and resources sector. The specialisation of 'Mineral Economist' is a subset of the broader occupation of 'Economist'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Mineral Economist' profile should be combined with the broader 'Economist' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
224311,Taxation Economist,Conducts economic analysis related to taxation. The specialisation of 'Taxation Economist' is a subset of the broader occupation of 'Economist'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Taxation Economist' profile should be combined with the broader 'Economist' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
224311,Economist,"Performs economic research and analysis, develops and applies theories about production and distribution of goods and services and people's spending and financial behaviour, and provides advice to governments and organisations on economic policy issues."
224411,Intelligence Officer,"Collects and analyses information and data to produce intelligence for an organisation to support planning, operations and human resource functions."
224412,Policy Analyst,"Develops and analyses policies guiding the design, implementation and modification of government or commercial operations and programs."
224512,Valuer,"Assesses the value of land, property, commercial equipment, merchandise, personal effects, household goods and objects of art. Registration or licensing may be required."
224611,Librarian,"Develops, organises and manages library services such as collections of information, recreational resources and reader information services. Registration or licensing may be required."
224712,Change Management Facilitator,"Assist in changes to organisations by planning, supervising and assessing its transition. The specialisation of 'Change Management Facilitator' is a subset of the broader occupation of 'Organisation and Methods Analyst'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Change Management Facilitator' profile should be combined with the broader 'Organisation and Methods Analyst' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles."
224712,Delivery Coach,Encourages and promotes teams to collaborate effectively using different methods to deliver strategic outcomes. The specialisation of 'Delivery Coach' is a subset of the broader occupation of 'Organisation and Methods Analyst'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Delivery Coach' profile should be combined with the broader 'Organisation and Methods Analyst' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
224712,Organisation and Methods Analyst,"Studies organisational structures, methods, systems and procedures."
224713,Management Consultant,Assists organisations to achieve greater efficiency and solve organisational problems which exclude the deployment of quality systems and certification processes.
224714,Supply Chain Analyst,"Analyse product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing."
224912,Liaison Officer,"Establishes and facilitates communication between different community groups, organisations and governments"
224999,Information Management Co-ordinator,"Provide high level advice, implement and monitor information management practices."
224999,Knowledge Manager,"Develop and interpret information that assists management with decision-making, policy formulation, or other managerial functions."
224999,Lobbyist,"Promote interests of individuals, groups, or organisations."
224999,Museum Registrar,Administer and maintain collections for public access through museums.
224999,Procurement Specialist,"Plan, direct, or coordinate the purchase of materials, products, and services."
224999,Sales Analyst,"Evaluate and identify trends in sales by researching conditions in local, regional, national, or online markets."
224999,Information and Organisation Professionals nec,"This occupation group covers Information and Organisation Professionals not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 224999 Information and Organisation Professionals nec."
225111,Advertising Specialist,Devises and coordinates advertising campaigns which encourage consumers to purchase particular goods or services.
225112,Market Research Analyst,Assist organisations to understand current and predict future consumer behaviours through the collection and analysis of data. This data is likely to be obtained through consumer surveys and interviews conducted online or in store.
225113,Pricing Analyst,Analyses market data and trends to inform product pricing strategies. The specialisation of 'Pricing Analyst' is a subset of the broader occupation of 'Marketing Specialist'. They perform some or all of the broader occupationŠ—Ès tasks as well as additional tasks. This 'Pricing Analyst' profile should be combined with the broader 'Marketing Specialist' occupation profile in order to understand the full range of tasks undertaken by individuals in these roles.
225113,Marketing Specialist,"Identifies market opportunities and advises on the development, coordination and implementation of plans for pricing and promoting an organisation's goods and services."
225114,Content Creator (Marketing),"Creates and publishes text, photos and videos designed to promote businesses, products or services, to social media and digital platforms, to grow an audience, build brand awareness and increase sales. Schedules the release of, and updates to, marketing content on these platforms. This occupation excludes Social Media Influencers."
225115,Digital Marketing Analyst,"Uses tools and techniques such as Pay per click, Search Engine Optimisation (SEO) and tracking customer behaviour on websites to better understand online consumer behaviour; with the aim of improving digital marketing campaigns and ultimately increasing sales."
225211,ICT Account Manager,"Manages sale of computer hardware, software and services to existing account clients and identifies further sales opportunities within these accounts, builds new account clients, manages customer satisfaction and retention, and coordinates the preparation and presentation of ICT sales proposals and tenders."
